WSPD,WVHT
4.4,99
3.9,99
4,99
4,99
3.9,99
3.7,99
4,99
4.5,99
4,99
4.4,99
4.7,99
5,99
5,99
4.9,99
4.8,99
5,99
4.8,99
4.2,99
3.9,99
3.4,99
3.5,99
4.3,99
4,99
3.7,99
3.6,99
3.2,99
3.1,99
3.2,99
3,99
3.1,99
3.7,99
3.9,99
4.3,99
3.8,99
4.1,99
3.9,99
3.7,99
99,99
3.9,99
3.7,99
3.7,99
3.4,99
3,99
3.1,99
3,99
3.1,99
3.1,99
3.4,99
3.2,99
3.2,99
2.8,99
2.9,99
3.3,99
4.8,99
4.6,99
5,99
4.9,99
4.8,99
4.9,99
4.8,99
4.7,99
4.3,99
4.5,99
4.3,99
4.2,99
4.5,99
4.4,99
4.2,99
4,99
4.1,99
3.9,99
3.8,99
3.9,99
4,99
3.8,99
4.1,99
4.3,99
4.2,99
4.4,99
4.4,99
4.3,99
4.1,99
4.4,99
4.2,99
5,99
4.5,99
4.6,99
4.6,99
4.8,99
4.7,99
4.4,99
4.7,99
4.1,99
4.8,99
6.1,99
6.5,99
7.8,99
8,99
8.4,99
8.2,99
8.1,99
8.1,99
8,99
7.6,99
7.9,99
7.6,99
7.5,99
7.6,99
8.4,99
8.2,99
8,99
8.1,99
7.8,99
7.7,99
7.8,99
8.4,99
8.2,99
8.6,99
8.5,99
8.2,99
8,99
7.9,99
8,99
8.5,99
8.4,99
8.3,99
8.9,99
8.8,99
8.3,99
9,99
8.8,99
8.5,99
8.4,99
8.6,99
8.4,99
9,99
8.9,99
9,99
8.9,99
9.3,99
8.9,99
8.9,99
9.2,99
8.8,99
8.3,99
8.5,99
9,99
8.4,99
8.2,99
7.9,99
7.9,99
8.1,99
7.8,99
7.5,99
7.1,99
6.7,99
6.4,99
6.7,99
6.5,99
6,99
7,99
6.5,99
6.6,99
6.9,99
6.9,99
7.3,99
6.9,99
6.5,99
6.8,99
7.1,99
6.7,99
7.1,99
7.1,99
7.1,99
7.4,99
6.8,99
6.8,99
7,99
6.9,99
6.5,99
6.8,99
6.8,99
6.7,99
6.2,99
6.6,99
6.4,99
6.3,99
6.3,99
5.9,99
6.6,99
6.4,99
6.1,99
6.2,99
6.5,99
6.4,99
6.3,99
6.2,99
6.3,99
5.9,99
6.1,99
5.8,99
5.6,99
5.7,99
5.1,99
5.5,99
5.6,99
5.2,99
5.5,99
5.2,99
5.3,99
5.1,99
5.9,99
5.8,99
5.3,99
5.9,99
